char,count
錢,29591
強,29447
延,29390
題,29301
損,29272
富,29219
皇,29147
背,29016
齋,28982
美,28935
虎,28617
迹,28538
軍,28488
科,28481
角,28466
予,28450
改,28405
適,28333
顧,28160
房,28149
痛,28148
驚,28139
盧,28076
送,28056
髮,28012
暗,28005
芻,27999
蘭,27984
詮,27907
苾,27745
武,27739
錯,27556
鼓,27461
穢,27271
甘,27225
審,27076
溪,27062
星,27038
投,26969
塞,26947
把,26924
擬,26890
刀,26725
猛,26718
誓,26648
逢,26646
岸,26612
竹,26288
否,26272
徵,26227
網,26224
枝,26223
畫,26174
棒,26152
准,26124
脚,26094
單,26015
楞,25937
奪,25899
赤,25712
耨,25672
竺,25668
眷,25637
責,25610
史,25529
給,25451
陵,25449
走,25440
瑜,25271
索,25225
謝,25169
饒,25156
悅,25097
梨,25056
3,25025
恚,25004
貧,24967
寄,24962
詩,24950
松,24932
祥,24882
詳,24839
孝,24741
判,24379
純,24312
幢,24310
彰,24269
余,24254
限,24244
台,24194
負,24175
梁,24171
妨,24139
冥,24050
4,23981
圖,23958
衛,23902
t,23889
充,23882
胡,23847
胎,23723
魚,23701
勇,23688
遷,23685
惠,23670
爭,23647
曉,23644
幽,23637
怨,23624
擊,23590
卻,23461
茶,23423
逐,23342
珍,23321
條,23310
拘,23272
喫,23218
盜,23201
帶,23155
酒,23143
仍,23123
李,23037
禁,22930
吳,22884
嘗,22850
蘇,22845
樣,22746
途,22722
藐,22721
鈔,22715
移,22664
烏,22657
省,22644
短,22598
京,22521
紙,22509
孫,22508
纏,22419
圍,22406
蒙,22397
早,22394
御,22208
工,22172
附,22161
兄,22104
毫,22079
尺,22069
塗,22056
鳴,22007
旬,21986
洗,21979
趙,21940
壁,21926
〇,21925
濁,21915
崇,21898
殘,21885
5,21876
急,21873
素,21856
徑,21847
預,21828
招,21783
嘉,21760
肯,21756
敘,21730
拔,21647
快,21632
賜,21623
晉,21612
申,21603
脩,21581
卓,21578
私,21546
狀,21511
皮,21473
衲,21470
涉,21456
淺,21396
認,21311
跡,21282
婬,21269
折,21224
麤,21170
歌,21101
商,21069
愍,20981
瓶,20959
案,20900
尾,20875
闕,20872
廢,20805
眉,20795
血,20745
族,20700
覩,20676
篇,20675
隔,20646
府,20645
按,20629
瞿,20623
庵,20619
值,20420
瑞,20317
干,20303
召,20274
賓,20233
憍,20167
宅,20131
壇,20121
乳,20060
閻,20043
跋,20031
薄,20021
婦,19940
寫,19879
統,19865
牒,19852
率,19816
啟,19787
牟,19726
保,19633
i,19610
博,19596
驗,19586
吹,19497
突,19483
納,19440
戶,19417
傷,19366
吒,19333
曹,19295
蛇,19281
準,19262
返,19238
幸,19223
伊,19218
閣,19192
銀,19191
司,19109
睡,19104
考,19057
愧,19052
累,18966
污,18956
屈,18934
怛,18911
懸,18909
哀,18898
纔,18852
詔,18851
晝,18828
響,18817
茲,18812
贊,18791
潤,18767
閒,18728
床,18699
谷,18681
訖,18658
敷,18635
湖,18626
們,18615
伴,18537
鈍,18534
浪,18501
慚,18495
兵,18485
賴,18456
6,18302
村,18234
辦,18232
浴,18214
誤,18180
澄,18166
迎,18153
紅,18147
0,18078
試,18075
景,18071
川,18038
狂,18034
麁,18026
楊,17993
囑,17986
震,17938
祕,17858
魏,17785
涼,17745
丁,17647
遙,17641
閑,17590
怒,17544
伺,17539
追,17516
r,17515
旋,17493
鹿,17487
縣,17475
傍,17433
雅,17426
獻,17368
繞,17344
片,17324
7,17321
些,17307
逝,17218
該,17218
妻,17162
e,17128
n,17120
哩,17026
灌,17004
洲,16979
船,16965
晚,16924
8,16912
洹,16888
奈,16871
頗,16857
羊,16830
撰,16825
o,16821
紫,16814
舟,16811
基,16796
卒,16769
賀,16764
辟,16761
註,16737
瞻,16722
刻,16615
儒,16590
冷,16528
庭,16507
冬,16486
韓,16484
沈,16479
委,16451
秦,16414
軌,16362
曼,16357
屋,16343
筆,16330
透,16302
編,16291
務,16251
9,16227
暫,16205
繼,16190
叢,16164
醫,16158
雷,16143
履,16136
h,16125
勅,16066
竭,16046
枯,15923
詞,15901
輩,15889
惜,15845
域,15835
避,15767
宇,15766
辱,15761
揀,15738
邑,15714
秀,15713
借,15655
湛,15646
旦,15618
飾,15618
耆,15565
逼,15540
式,15512
席,15508
葢,15470
符,15395
欣,15370
穿,15368
藍,15361
育,15336
闡,15303
覓,15230
校,15191
術,15135
防,15122
戰,15084
恨,15063
辛,15049
偷,15043
昭,15038
恣,15028
闇,15009
丹,14990
餓,14975
喪,14967
渴,14958
顏,14902
霜,14885
甞,14875
捉,14818
愁,14781
瓦,14760
煙,14711
測,14695
羣,14673
洪,14660
唵,14638
管,14634
焰,14627
紀,14587
規,14572
爐,14571
截,14550
誡,14548
稽,14520
階,14493
貌,14464
衰,14459
貫,14427
ā,14422
缺,14404
吐,14380
柔,14368
怪,14367
s,14344
鐘,14329
柱,14322
吼,14271
箭,14258
蒼,14254
扶,14234
忠,14231
傾,14177
嶺,14157
米,14141
竪,14128
擔,14125
盤,14124
沉,14117
拏,14101
昏,14081
翁,14036
郎,14034
倍,14004
牙,14003
嶽,13970
奴,13962
愈,13910
鄉,13865
冠,13854
劍,13846
滯,13817
懈,13784
誑,13781
賤,13780
赴,13744
披,13739
災,13711
隆,13656
昌,13649
乖,13635
CB16765,13572
酬,13537
臂,13537
蟲,13493
兮,13490
停,13478
政,13452
訓,13429
擲,13426
番,13419
豎,13400
康,13394
洛,13390
游,13337
振,13317
頃,13288
卿,13279
荅,13266
璃,13260
搖,13256
敗,13255
郡,13246
溈,13243
斥,13229
碧,13211
掃,13189
謬,13159
做,13147
潭,13139
牽,13104
英,13093
派,13087
馳,13082
熾,13078
厚,13069
梅,13067
市,13034
黎,13028
夕,12987
榮,12982
遭,12951
封,12949
楚,12937
昇,12876
偽,12873
辰,12861
拳,12834
鬘,12800
嫌,12740
盲,12732
刺,12721
寬,12714
寸,12686
玅,12645
荊,12620
午,12570
較,12563
憐,12556
獸,12511
潔,12506
m,12490
薦,12476
聰,12461
團,12450
兜,12421
濕,12346
泰,12341
格,12341
側,12323
澤,12297
繩,12291
慕,12252
湯,12245
奢,12199
慳,12190
騰,12188
碎,12171
曩,12160
渡,12119
罵,12112
料,12110
研,12103
賣,12088
營,12088
祐,12073
CB22072,12060
敵,12052
怠,12040
渠,12028
頻,12026
豐,11992
龜,11982
齒,11969
弄,11953
錫,11931
巨,11925
翠,11866
舒,11864
朗,11863
局,11856
銅,11846
麗,11842
驢,11841
焚,11841
綱,11816
井,11807
懼,11800
繁,11791
麻,11790
荷,11752
託,11748
呈,11718
秘,11708
配,11690
尤,11688
潛,11685
棲,11682
價,11654
完,11647
陸,11640
謁,11636
欺,11634
倫,11632
諫,11624
雄,11598
彈,11597
橋,11542
油,11519
閉,11509
遶,11489
訪,11487
韻,11483
電,11480
踏,11469
紹,11466
狗,11450
嗔,11443
絲,11429
苑,11399
弱,11399
奏,11347
鳳,11347
鑑,11334
貞,11312
溫,11297
瓔,11261
蕩,11246
窟,11227
升,11209
謹,11204
稍,11175
庶,11160
撥,11155
后,11132
摧,11083
斗,11081
灑,11062
輔,11048
舞,11038
吞,11016
曠,10976
竇,10918
肩,10907
詰,10884
遲,10880
珞,10878
危,10878
d,10822
巴,10817
劉,10813
軟,10776
偶,10751
憑,10745
倚,10739
腳,10729
逮,10709
抱,10681
霞,10668
板,10648
藉,10639
飢,10623
裡,10619
割,10528
蔽,10518
掉,10505
廬,10504
亭,10475
牀,10435
均,10429
腹,10422
射,10409
祝,10382
旃,10364
鎮,10342
循,10330
範,10284
暮,10260
險,10249
昨,10243
銘,10240
狹,10238
稟,10222
閱,10216
包,10194
y,10188
埵,10177
遵,10165
醉,10156
臘,10138
卑,10137
穴,10101
選,10080
嘆,10080
啼,10069
朱,10066
欽,10049
徐,10037
區,10008
苟,9982
額,9955
津,9920
宰,9896
函,9891
爛,9885
低,9879
糞,9877
耀,9876
忿,9868
穀,9867
廟,9855
坤,9844
暴,9825
杜,9823
u,9811
奔,9808
銷,9806
忌,9803
剃,9800
監,9786
孰,9782
疲,9768
漫,9757
社,9733
整,9722
衍,9722
紛,9694
環,9663
拾,9659
嫉,9651
臭,9636
隋,9630
淵,9617
輝,9607
伯,9604
勘,9600
練,9585
訊,9578
嚕,9557
侵,9556
䟽,9544
鑒,9536
掩,9527
墜,9499
憎,9498
吽,9483
蒲,9464
彩,9457
候,9448
馱,9445
趺,9444
克,9405
凝,9391
混,9366
躍,9357
泯,9317
慰,9283
鋒,9270
庚,9261
仲,9250
慎,9250
產,9237
濫,9214
匝,9205
驅,9204
浩,9202
創,9193
驀,9159
排,9157
乙,9157
v,9142
祭,9137
着,9119
困,9063
買,9047
牢,9017
荒,8990
崖,8984
儞,8975
它,8973
靡,8970
疎,8966
程,8965
炎,8965
幼,8963
芳,8953
謙,8932
罷,8927
籠,8904
雞,8900
禍,8895
係,8853
滴,8807
侯,8797
藤,8795
揭,8792
抑,8777
肇,8767
醜,8741
叫,8725
兔,8718
噉,8704
扇,8691
確,8682
競,8681
歇,8674
檢,8660
裟,8658
荼,8657
層,8656
弊,8650
採,8643
讓,8637
袈,8636
騎,8625
泣,8611
檗,8603
乏,8593
映,8577
輸,8563
糧,8563
算,8549
線,8508
析,8501
罔,8456
譏,8449
費,8418
屏,8413
盈,8403
駕,8396
戴,8393
豁,8390
佉,8388
伎,8387
伐,8371
壬,8362
碑,8362
抄,8353
鳩,8347
攀,8346
宛,8343
狐,8341
髻,8338
歟,8329
獅,8318
旁,8305
擾,8296
策,8292
琉,8272
譽,8258
侶,8258
覽,8256
尒,8248
斬,8237
囊,8237
曜,8219
陞,8195
哭,8180
裂,8161
丙,8137
郭,8136
飽,8120
亮,8111
伸,8105
膝,8095
-,8077
断,8036
柳,8032
束,8029
倦,8017
秪,8001
岳,7991
冤,7984
淳,7979
針,7965
祈,7960
豫,7954
墨,7941
贈,7933
胸,7922
廓,7914
茫,7913
咄,7913
誕,7890
庫,7886
莖,7875
牧,7874
晨,7869
隻,7855
竝,7854
蹤,7852
綿,7849
綠,7811
誨,7805
杭,7802
坑,7797
幡,7793
健,7785
籍,7782
咒,7774
桃,7772
趨,7769
鮮,7757
奘,7744
竊,7741
胝,7734
巍,7725
隣,7721
換,7718
葛,7714
探,7712
肅,7711
粥,7709
丑,7698
揮,7695
瑟,7687
吟,7678
躬,7670
擁,7667
翳,7665
渾,7644
賞,7640
勉,7638
輒,7635
戀,7625
添,7605
植,7580
孟,7537
森,7533
宏,7531
緊,7525
恰,7522
薪,7517
戊,7517
奮,7516
翼,7503
秉,7500
癸,7478
晦,7453
乗,7448
魯,7446
暢,7435
咎,7404
犍,7381
鬪,7376
錦,7376
匿,7356
睺,7344
鄭,7341
冰,7328
N,7324
寅,7314
溺,7305
鍾,7286
踊,7279
撫,7274
嗟,7270
酥,7259
系,7246
諱,7219
誘,7217
粗,7210
討,7180
p,7167
製,7167
屍,7143
迅,7123
熙,7097
殷,7093
逃,7083
跪,7078
拍,7078
街,7070
季,7068
革,7049
莎,7048
淚,7034
衡,7032
訛,7028
罰,7027
疊,7010
瘡,7006
弓,6998
盖,6985
岐,6980
踰,6978
警,6956
僅,6948
挂,6940
籌,6940
臾,6935
羽,6906
埋,6904
鉤,6896
役,6890
畔,6881
煖,6877
烟,6876
壯,6876
滋,6876
栴,6872
祗,6861
跳,6859
炬,6848
曆,6814
纖,6780
聾,6774
諾,6758
嵩,6756
燭,6733
忙,6732
謨,6727
饑,6721
鹽,6720
劒,6716
屠,6697
謀,6688
爪,6688
僕,6665
蕭,6660
兆,6660
秖,6658
桓,6654
卯,6641
夾,6610
掘,6609
豆,6608
灰,6604
▲,6594
鶴,6584
涯,6584
誹,6583
瞎,6577
織,6557
鬚,6551
央,6547
陶,6539
勵,6535
吠,6529
穩,6528
緇,6515
燃,6498
巳,6489
激,6475
酪,6472
耕,6464
魂,6464
惹,6462
評,6461
擯,6432
鼎,6431
蜀,6427
迫,6426
k,6415
c,6415
刑,6410
淡,6403
托,6399
晴,6397
抵,6390
粟,6360
箋,6352
寮,6344
陷,6309
職,6308
芥,6306
奧,6303
肆,6303
祀,6302
班,6280
蘆,6280
誐,6278
鎖,6276
醒,6272
恃,6267
諂,6250
匠,6247
操,6243
涌,6241
曳,6229
艸,6227
拋,6223
占,6222
睛,6202
肘,6192
祠,6189
酉,6186
龕,6185
决,6173
茂,6166
闥,6160
叅,6160
鞋,6158
狼,6150
敕,6138
冀,6099
妃,6098
飄,6087
麥,6086
巡,6068
斫,6060
播,6052
欠,6035
悞,6032
陁,6026
獵,6024
竿,6018
俊,6013
跟,6009
仗,6005
卜,6000
柴,5993
暑,5991
忉,5965
豪,5965
谿,5948
鑿,5939
恆,5936
霧,5920
呢,5910
刃,5878
跛,5874
烈,5864
很,5860
緩,5855
詐,5845
黨,5842
鞭,5842
拙,5831
巾,5817
霄,5816
寥,5802
葬,5793
皈,5786
捐,5786
鄙,5781
枕,5780
拿,5777
腦,5766
袖,5750
怕,5733
翅,5730
燕,5720
菜,5719
腰,5711
CB08859,5703
盆,5696
薰,5696
寢,5684
悠,5674
婢,5674
懃,5671
韋,5667
汗,5641
握,5636
姑,5633
髓,5633
頑,5624
謾,5619
棘,5604
掛,5598
屢,5595
氷,5589
芽,5577
恥,5576
踐,5570
茅,5570
泊,5562
帙,5559
鷲,5558
峻,5544
淫,5543
貢,5543
朽,5539
暇,5538
哲,5527
淪,5519
坊,5511
敲,5502
悶,5499
殃,5499
吏,5499
捺,5496
徃,5491
揵,5488
燄,5476
泛,5474
叔,5468
虧,5459
皎,5450
惺,5449
綺,5448
l,5444
項,5443
厥,5434
怎,5431
妬,5430
杲,5425
舜,5423
態,5422
朕,5421
軒,5416
努,5403
亥,5395
刊,5378
緒,5377
築,5373
俾,5365
撿,5362
虫,5358
鼠,5353
扣,5352
沐,5351
禽,5347
醯,5341
括,5329
戌,5318
脈,5306
併,5303
椎,5299
逾,5294
𦦨,5291
嗚,5289
級,5281
朋,5280
斤,5277
窺,5270
汙,5264
凶,5250
儼,5244
促,5243
詠,5241
俄,5232
咽,5231
佗,5226
坦,5221
篤,5221
縫,5218
敏,5212
b,5192
耽,5189
餅,5187
潮,5176
鈴,5157
陣,5155
壑,5144
桑,5140
擎,5132
冊,5127
堆,5122
祿,5114
佳,5110
煞,5109
螺,5088
撒,5072
夙,5058
釣,5047
羞,5035
柏,5029
敦,5028
橛,5017
傅,5007
CB01926,5001
奚,4994
涕,4990
韶,4985
矩,4977
模,4975
苗,4969
摸,4964
娜,4964
嬰,4952
卵,4945
犬,4928
猴,4920
姚,4919
陛,4914
蹉,4913
盂,4911
哆,4910
g,4909
覿,4900
唎,4896
堯,4890
介,4880
裝,4874
洋,4873
唾,4869
宴,4865
諮,4856
吸,4849
隅,4847
鴻,4841
翰,4836
藝,4835
崩,4834
瞞,4832
縷,4832
崛,4831
庸,4819
粒,4819
禾,4814
袋,4807
聊,4805
杵,4805
軀,4802
諷,4801
聯,4793
厄,4790
賦,4782
塘,4779
琴,4777
缽,4777
凌,4772
焦,4771
桂,4770
䟦,4769
享,4764
况,4761
賈,4756
牆,4753
允,4752
抽,4737
〡,4728
鄔,4717
粉,4713
澡,4712
鄰,4712
捕,4691
猿,4689
娛,4689
貝,4684
邏,4662
姊,4661
瘦,4644
捧,4640
滑,4639
寡,4625
赫,4622
瑠,4617
漂,4610
債,4602
羸,4600
枉,4582
措,4579
暖,4578
跏,4577
撞,4553
副,4547
雀,4537
丞,4533
怯,4519
遽,4518
材,4497
陋,4494
廿,4490
倉,4478
拒,4476
替,4473
削,4471
磬,4471
寤,4467
漁,4465
屎,4463
栗,4455
效,4455
捷,4453
樞,4450
鑄,4447
裁,4437
麟,4433
逈,4426
劈,4424
闊,4419
湧,4415
偉,4401
筋,4401
炭,4399
繇,4398
浙,4396
輿,4394
滄,4390
乍,4388
喃,4384
件,4384
錐,4382
澗,4381
柰,4371
傑,4368
壓,4363
斧,4362
醍,4348
醐,4337
窠,4337
塊,4333
觧,4331
漆,4324
窣,4320
禱,4319
偃,4315
員,4313
鑽,4312
纂,4307
帖,4303
漚,4302
搆,4280
撲,4270
闢,4267
寓,4256
叩,4249
廻,4245
譚,4237
衢,4233
𢙣,4232
朔,4228
穆,4225
皷,4224
諭,4219
帳,4219
腸,4213
膽,4211
俯,4210
貨,4206
轍,4204
躡,4204
槌,4203
蔭,4189
斂,4187
瑩,4183
芝,4182
遐,4177
个,4175
濤,4166
甫,4158
寐,4156
磧,4148
療,4147
弭,4144
巢,4144
蓬,4140
隊,4130
匪,4127
詢,4126
拶,4126
岩,4119
仞,4119
欝,4117
虞,4115
概,4110
疋,4097
昆,4096
嚼,4091
汁,4084
鷄,4084
鞞,4083
讖,4082
釘,4074
殆,4072
襄,4063
淮,4059
爽,4058
汾,4056
妹,4051
攞,4045
艱,4044
呂,4029
剖,4025
衝,4023
宙,4013
廉,4006
佐,4004
帛,4000
枳,3999
迥,3996
翔,3987
誌,3978
尉,3970
勑,3958
坡,3955
遁,3955
脇,3949
琳,3949
懇,3947
絡,3947
拉,3946
版,3945
瑕,3940
懶,3937
閩,3934
湘,3929
贍,3923
鱗,3915
彥,3902
禹,3884
欄,3879
另,3877
憲,3872
龐,3871
曷,3853
匡,3850
輯,3843
凉,3839
罕,3831
暉,3828
稀,3827
妖,3824
填,3822
几,3822
䇿,3822
訟,3814
采,3810
插,3807
魅,3798
筵,3790
瑪,3780
阻,3777
攬,3772
柄,3768
犢,3767
睹,3762
浣,3761
踞,3756
咬,3752
農,3752
膚,3735
壹,3733
丸,3724
挑,3723
溢,3720
虔,3719
靖,3717
縮,3715
軸,3713
輙,3707
ḥ,3704
蹈,3702
搜,3701
罽,3700
稻,3694
CB29911,3688
拽,3683
邁,3671
栽,3671
俟,3662
CB31293,3655
CB15112,3654
漿,3652
躰,3641
逗,3640
厲,3640
攻,3639
剋,3636
棺,3633
浦,3621
煎,3618
諡,3609
菓,3605
跨,3604
鍊,3602
䭾,3597
