A000723,法場
A000726,法琳
A000727,法登
A000729,法雲
A000731,法照
A000732,法經
A000734,法稱
A000735,法銑
A000737,法慧
A000738,法澄
A000742,法應
A000743,法濟
A000744,法聰
A000745,法嚴
A000746,法寶
A000747,法礪
A000748,竺法蘭
A000749,竺法護
A000750,法顯
A000751,沮渠京聲
A000752,治兆
A000754,知周
A000755,知恩
A000756,知禮
A000757,祁駿隹
A000759,空海
A000760,空蜞
A000761,竺大力
A000764,竺律炎
A000766,難提
A000768,芳慧
A000769,芝峯
A000770,表員
A000772,金俱吒
A000773,金剛仙
A000774,金剛智
A000780,阿地瞿多
A000781,阿旺扎什
A000802,青目
A000803,非濁
A000804,亮潤
A000807,信菴
A000808,釋信瑞
A000811,俊芿
A000813,俞行敏
A000814,俞樾
A000815,則安
A000818,咸輝
A000820,咫觀
A000821,契嵩
A000825,建基
A000826,彥起
A000827,彥悰
A000828,彥琪
A000829,彥琮
A000832,思坦
A000833,思廉
A000834,思敬
A000835,思齊
A000836,思靜
A000837,思謙
A000838,恆安
A000839,持正
A000840,持志
A000841,慧印
A000842,指空
A000843,施沛
A000844,施護
A000846,昭如
A000847,昭
A000848,善月
A000850,段成式
A000851,毘尼多流支
A000852,毗目智仙
A000853,毗舍佉
A000854,洪如
A000856,洪喬祖
A000857,洪蓮
A000860,省悟
A000861,紀蔭
A000863,耶舍崛多
A000865,胡文煥
A000866,胡幽貞
A000867,胤丘
A000869,若舟
A000870,若那
A000871,若那跋陀羅
A000872,若羅嚴
A000876,釋貞舜
A000878,迦才
A000881,迦留陀迦
A000882,迦栴延子
A000883,攝摩騰
A000885,重顯
A000888,飛錫
A000889,發合思巴
A000892,乘戒
A000893,乘旹
A000894,修義
A000896,冥詳
A000897,凌弘憲
A000898,原澂
A000899,康僧鎧
A000901,員珂
A000903,夏丏尊
A000904,夏道人
A000905,夏樹芳
A000906,孫念劬
A000907,師子
A000912,師坦
A000913,師明
A000914,師皎
A000915,師會
A000916,師楷
A000917,師肇
A000918,師遠
A000919,師鍊
A000921,徐行善
A000922,徐昌治
A000923,徐發
A000924,徐槐廷
A000925,徐鍔
A000926,徐靈府
A000928,悟卓
A000929,悟明
A000930,悟開
A000933,時蔚
A000934,時舉
A000935,書玉
A000937,海眼
A000938,海雲
A000939,海壽
A000940,海譚
A000941,浮陀跋摩
A000943,益證
A000944,真可
A000945,真在
A000946,趙德昌
A000948,真界
A000952,真啟
A000954,真智
A000956,真貴
A000957,真雄
A000958,真嵩
A000960,釋真樸
A000961,釋真興
A000962,真諦
A000964,真覺
A000965,真續
A000967,真鑑
A000970,祖光
A000971,祖安
A000972,祖定
A000973,祖杲
A000974,祖淳
A000975,祖琇
A000976,祖森
A000977,祖詠
A000979,祖祿
A000980,祖運
A000981,祖銘
A000982,祖慶
A000983,祖誾
A000984,祖燈
A000986,祖灊
A000987,神泰
A000988,神清
A000989,神愷
A000991,翁春
A000992,般剌蜜帝
A000993,般若
A000994,般若力
A000996,般若流支
A000999,祇多蜜
A001001,起宗
A001002,退隱
A001003,馬鳴
A001004,高承埏
A001006,高道素
A001009,栖復
A001010,大博乾
A001011,乾淑
A001012,勒那摩提
A001013,曼陀羅仙
A001014,商羯羅主
A001016,唯道
A001017,堅意
A001018,堅慧
A001019,窺基
A001021,婆素跋陀
A001024,婆藪跋摩
A001025,婆藪開士
A001026,寂友
A001027,寂正
A001028,寂光
A001029,寂空
A001031,寂乾
A001034,寂暹
A001035,寂燄
A001036,屠根
A001037,崇岳
A001038,崇俊
A001039,崇裕
A001041,崔致遠
A001042,常曉
A001043,常謹
A001044,常攝
A001045,康孟詳
A001046,康僧會
A001047,張文嘉
A001048,張文憲
A001049,張師誠
A001050,張商英
A001051,張淵
A001053,得度
A001054,從心
A001055,從芳
A001057,從義
A001060,惟一
A001061,惟白
A001064,惟則
A001065,惟勉
A001066,惟勁
A001067,惟衍
A001068,惟珪
A001069,惟能
A001070,惟寂
A001071,惟康
A001072,惟淨
A001074,惟實
A001075,惟蓋
A001077,惟謹
A001078,惟顯
A001081,梁肅
A001082,梵琦
A001087,清茂
A001088,清素
A001089,清欲
A001091,清逸
A001092,清歲
A001093,清遠
A001095,清澤
A001096,清覺
A001099,淨伏
A001100,淨志
A001101,淨戒
A001102,淨昇
A001103,淨柱
A001105,淨倫
A001106,淨挺
A001107,淨球
A001108,淨符
A001109,淨訥
A001110,淨善
A001112,淨意
A001113,釋淨源
A001114,淨煥
A001116,淨慧
A001117,淨岳
A001118,淨證
A001119,淨韻
A001121,淨覺
A001122,盛熙明
A001123,眾賢
A001124,眾護
A001125,祥邁
A001127,紹宗
A001128,紹隆
A001129,紹甄
A001130,紹熏
A001131,紹德
A001133,紹曇
A001134,廣承
A001137,莊廣還
A001138,處元
A001139,處林
A001140,處咸
A001141,處凝
A001142,處謙
A001143,處觀
A001145,許元釗
A001147,通旭
A001148,通門
A001150,通容
A001152,通理
A001153,通琇
A001155,通際
A001156,通潤
A001157,通醉
A001158,造玄
A001161,陳田夫
A001162,陳那
A001163,陳舜俞
A001165,陳實
A001166,陳熙願
A001167,陳慧
A001168,陸西星
A001169,陶明潛
A001170,陶善
A001174,傅鵬
A001175,最勝子
A001177,最澄
A001178,勝友
A001179,勝莊
A001180,勝德赤衣
A001184,尊婆須蜜
A001188,彭際清
A001191,復初
A001192,復禮
A001194,慧立
A001197,慧果
A001198,九頂慧泉
A001199,慧英
A001200,惠洇
A001202,慧運
A001203,惠達
A001204,慧遠
A001205,慧簡
A001207,迦那提婆
A001208,提婆設摩
A001209,提婆羅
A001210,提雲般若
A001213,普和
A001214,普明
A001215,普度
A001216,普容
A001217,普泰
A001219,普寂
A001221,普紹
A001222,普莊
A001223,普通
A001224,普敬
A001225,普暉
A001226,普會
A001227,普照
A001228,普瑞
A001229,普壽
A001231,普潤
A001232,普璋
A001234,普濟
A001236,普禮
A001237,普覺
A001238,普巖
A001239,普觀
A001241,景元
A001242,景用
A001243,景行
A001244,景淨
A001245,空谷景隆
A001247,景毅
A001248,景霄
A001249,景瓛
A001251,智一
A001255,智吉祥
A001257,智旭
A001258,智折
A001259,智沂
A001260,智周
A001261,智昇
A001262,智肱
A001265,智度
A001266,智昭
A001267,智炬
A001269,智首
A001270,智海
A001271,智素
A001272,智能
A001274,智祥
A001275,智通
A001277,智勝
A001280,智華
A001281,智雲
A001282,智圓
A001283,智愷
A001284,智楷
A001285,智瑞
A001286,智粵
A001288,智徹
A001289,智銓
A001290,智增
A001291,智廣
A001292,智慧
A001293,智慧山
A001294,智慧輪
A001295,智瑾
A001296,智質
A001298,智聰
A001300,智證
A001301,智顗
A001302,智嚴
A001303,智辯
A001304,儼法師
A001305,曾鳳儀
A001307,湛然
A001310,焦竑
A001312,無我
A001313,無性
A001314,無是道人
A001315,無相
A001316,阿質達霰
A001317,無寄
A001318,無著
A001319,無著道忠
A001320,無溫
A001324,無羅叉
A001325,發慧
A001326,程兆鸞
A001327,程衷懋
A001328,等純
A001329,筏提摩多
A001331,善之
A001333,善成
A001334,善果
A001335,善卿
A001337,釋善珠
A001338,善珙
A001339,善堅
A001340,善寂
A001341,善清
A001342,善無畏
A001343,善開
A001344,善道
A001345,善遇
A001346,善靖
A001348,善漳
A001349,善導
A001350,善熹
A001351,善隨
A001352,善燦
A001354,翔公
A001355,菩提㗚使
A001357,菩提流支
A001358,菩提流志
A001359,菩提耶舍
A001360,菩提登
A001361,菩提達磨
A001362,虗一
A001363,訶梨跋摩
A001364,費長房
A001366,超永
A001367,超見
A001368,超宗
A001369,超直
A001370,超記
A001371,超常
A001372,超溟
A001373,超遠
A001374,超德
A001375,跋折羅菩提
A001377,跋馱木阿
A001382,開詗
A001386,雲岑
A001388,雲峯
A001389,雲澹
A001390,朗空順
A001392,黃大廣
A001393,琮湛
A001394,袾宏
A001395,傳如
A001396,傳奧
A001399,嗣良
A001401,嗣端
A001402,圓仁
A001405,圓行
A001407,圓杲
A001408,圓信
A001409,圓珍
A001410,圓修
A001411,克勤
A001412,圓瀞
A001413,圓通
A001414,圓測
A001415,圓超
A001416,圓暉
A001417,圓照
A001420,圓澄
A001422,圓覺
A001424,塞建地羅
A001428,彌勒
A001429,慈航智願
A001432,慈賢
A001433,慈證
A001434,愛同
A001435,敬止
A001439,楚圓
A001440,楊文會
A001442,楊彥國
A001443,楊起元
A001444,楊衒之
A001446,楊億
A001449,源清
A001451,溥仁
A001452,溥畹
A001453,溥震
A001455,照瑩
A001456,金聖歎
A001457,瑞璋
A001458,萬天懿
A001462,義天
A001463,義令
A001464,義忠
A001465,義初
A001466,義青
A001467,義真
A001469,義寂
A001470,義淨
A001471,義湘
A001473,義雲法金剛
A001474,義楚
A001475,義遠
A001476,義銛
A001477,義操
A001481,聖法
A001482,龍樹
A001486,聖德太子
A001489,葛䵻
A001490,虞執西
A001492,解脫師子
A001493,詮明
A001495,迹刪鷲
A001496,釋運敞
A001497,道[辰*殳]
A001498,道川
A001499,道元
A001501,印正
A001502,竺道生
A001503,道安
A001504,道行
