primary_id,title,dynasty,author,edition,fulltext_read,fulltext_search,fulltext_download,image
B0060,頗哇心要轉識自在法,,"達瓦桑杜,伊文思溫慈,張妙定蓮菩提金剛正",,y,y,y,n
B0061,椎擊三要訣勝法解,,"大善解功德主,貢噶,滿空",,y,y,y,n
B0062,貢噶上師恒河大手印直講,,貢噶,,y,y,y,n
B0063,大密妙義深道六法引導廣論纂要,,"吉祥,鍾伯毅",,y,y,y,n
B0064,大圓滿,,"郭元興,慈威",,y,y,y,n
B0065,菩提道次第略論,,"宗喀巴,邢肅芝",,y,y,y,n
B0066,菩提道次第直講,,"宗喀巴,大勇,智湛",,y,y,y,n
B0067,菩提道次第廣論,,"宗喀巴,法尊",,y,y,y,n
B0068,密宗道次第廣論,,"宗喀巴,法尊",,y,y,y,n
B0069,七系付法傳,,多羅那他著 郭元興,,y,y,y,n
B0070,安樂妙寶,,金慧暢,,y,y,y,n
B0071,蓮華生大士應化史略,,諾那呼圖克圖逞列匠磋,,y,y,y,n
B0072,阿底峽尊者傳,,法尊,,y,y,y,n
B0073,木納記,,"惹穹多傑札把,多傑,張心若",,y,y,y,n
B0074,宗喀巴大師傳,,法尊,,y,y,y,n
B0075,西藏王臣護法記,,"第五世達賴喇嘛,郭和卿",,y,y,y,n
B0076,印度佛教史,,"達喇那他,王沂暖",,y,y,y,n
B0077,洛陽伽藍記校釋,,"楊衒之,周祖謨",,y,y,y,n
B0078,洛陽伽藍記校注,,"楊衒之,范祥雍",,y,y,y,n
B0079,釋氏六帖,,義楚,,y,y,y,n
B0080,大唐西域記（校點本）,,"玄奘,辯機",,y,y,y,n
B0081,雙峰山曹侯溪寶林傳（殘卷）,,智炬,,y,y,y,n
B0082,傳燈玉英集（殘卷）,,王隨,,y,y,y,n
B0084,藏逸經書標目,,密藏,,y,y,y,n
B0085,憨山大師年譜疏註,,"福善,福徵",,y,y,y,n
B0086,南朝寺考,,劉世珩,,y,y,y,n
B0087,合訂天台三聖二和詩集,,"寒山,豐干,拾得,梵琦,濟岳",,y,y,y,n
B0088,古今圖書集成選輯（上）,,"",,y,y,y,n
B0089,太平廣記選輯（卷八十七～一三四）,,李昉,,y,y,y,n
B0090,酉陽雜俎選輯（前集、續集等六篇）,,段成式,,y,y,y,n
B0091,正史選輯（晉書、宋書、梁書、魏書、隋書、舊唐書、元史、明史）,,"",,y,y,y,n
B0092,唐會要、五代會要、明書、明會典選輯,,"",,y,y,y,n
B0093,象教皮編（六卷全）,,陳士元,,y,y,y,n
B0094,冊府元龜選輯,,"王欽若,楊億",,y,y,y,n
B0095,入唐求法巡禮行記,,圓仁,,y,y,y,n
B0096,佛教繪畫史料,,"",,y,y,y,n
B0097,歸元鏡,,智達,,y,y,y,n
B0098,高旻寺規約,,來果,,y,y,y,n
B0099,相宗絡索,,王夫之,,y,y,y,n
B0101,絕觀論,,菩提達磨（？）,,y,y,y,n
B0103,禪林象器箋,,無著道忠,,y,y,y,n
B0116,金剛般若波羅蜜經集註,,明成祖朱棣,,y,y,y,n
B0117,三藏法數,,"一如,丁福保",,y,y,y,n
B0118,律宗燈譜,,"源諒,劉霞彩",,y,y,y,n
B0119,天然和尚年譜,,汪宗衍,,y,y,y,n
B0130,靈峰宗論（選錄〈蕅益大師年譜〉、〈書重刻靈峰宗論後〉、〈刻闢邪集序〉）,,智旭,,y,y,y,n
B0131,法海觀瀾,,智旭,,y,y,y,n
B0132,尚直編,,空谷景隆,,y,y,y,n
B0133,尚理編,,空谷景隆,,y,y,y,n
B0134,闢邪集（選錄）,,鍾始聲,,y,y,y,n
B0135,蒲室集,,笑隱大訢,,y,y,y,n
B0136,選佛譜,,智旭,,y,y,y,n
B0137,正名錄,,智楷,,y,y,y,n
B0139,獻花巖志,,陳沂,,y,y,y,n
B0140,雪峰志,,徐𤊹,,y,y,y,n
B0141,嵩山少林寺輯志,,傅梅,,y,y,y,n
B0142,新校定的敦煌寫本神會和尚遺著兩種,,胡適,,y,y,y,n
B0143,神會和尚語錄的第三個敦煌寫本：南陽和尚問答雜徵義（劉澄集）,,胡適,,y,y,y,n
B0144,祖堂集,,"靜,筠",,y,y,y,n
B0145,天目中峰廣錄,,中峰明本,,y,y,y,n
B0146,房山雲居寺石經──經文、題記、碑銘等拓片之選輯,,"",,y,y,y,n
B0147,三階教殘卷,,矢吹慶輝,,y,y,y,n
B0148,東坡禪喜集,,徐長孺,,y,y,y,n
B0149,鳴道集說,,李屏山,,y,y,y,n
B0150,道餘錄（選錄「姚少師道餘錄跋」）,,姚廣孝,,y,y,y,n
B0151,新續高僧傳,,喻謙,,y,y,y,n
B0152,普濟玉琳國師語錄,,音緯,,y,y,y,n
B0153,法藏碎金錄,,晁逈,,y,y,y,n
B0155,聖朝破邪集,,徐昌治,,y,y,y,n
B0156,佛法金湯,,屠隆,,y,y,y,n
B0157,楊仁山居士遺書,,楊文會,,y,y,y,n
B0158,陰騭文圖,,"費丹旭,許光清",,y,y,y,n
B0159,了凡四訓,,袁了凡,,y,y,y,n
B0160,金陵梵剎志,,葛寅亮,,y,y,y,n
B0161,武林梵志,,吳之鯨,,y,y,y,n
B0163,重修曹溪通志,,"馬元,釋真樸",,y,y,y,n
B0169,朝鮮寺剎史料,,"",,y,y,y,n
B0170,朝鮮佛教通史,,李能和,,y,y,y,n
B0171,八宗綱要鈔,,凝然,,y,y,y,n
B0172,出定後語,,富永仲基,,y,y,y,n
B0173,元亨釋書,,師鍊,,y,y,y,n
B0174,參天台五台山記,,成尋,,y,y,y,n
B0175,喫茶養生記,,榮西,,y,y,y,n
B0176,四宗要文,,"日朝,英園",,y,y,y,n
B0177,本朝諸宗要集,,義觀,,y,y,y,n
B0178,東大寺六宗未決義,,"",,y,y,y,n
B0179,八海含藏,,師鍊,,y,y,y,n
B0180,華嚴通關,,定仙,,y,y,y,n
B0181,諸宗教理同異釋,,賴瑜,,y,y,y,n
B0182,內典塵露章,,凝然,,y,y,y,n
B0183,禪祖念佛集,,慧中,,y,y,y,n
B0184,顯揚正法復古集,,普寂,,y,y,y,n
B0185,初學題額集,,良山,,y,y,y,n
B0186,三國佛法傳通緣起,,凝然,,y,y,y,n
B0187,二障義,,元曉,,y,y,y,n
B0189,大華嚴一乘法界圖註并序,,雪岑,,y,y,y,n
B0190,華嚴經釋題,,雪岑,,y,y,y,n
B0191,義相法師法性偈,,"有聞,聖奎",,y,y,y,n
B0192,釋文紀,,梅鼎祚,,y,y,y,n
B0193,吳都法乘,,周永年,,y,y,y,n
B0194,中華大藏經總目錄,,蔡念生,,y,y,y,n
B0195,頓悟大乘政理決,,王錫,,y,y,y,n
B0196,大乘中宗見解,,"",,y,y,y,n
B0197,摩訶婆羅多的故事,,"拉賈戈帕拉查理,唐季雍",,y,y,y,n
B0198,博伽梵歌,,雅蘇瑪蒂書達．踏薩,,y,y,y,n
C1163,一切經音義,唐,玄應,,y,y,y,n
C1169,紹興重雕大藏音,宋,處觀,,y,y,y,n
C1665,菩薩名經,宋,羅濬,,y,y,y,n
C1666,梵本大悲神咒,,,,y,y,y,n
C1679,御製佛賦,宋,趙炅,,y,y,y,n
C1680,御製詮源歌,宋,趙炅,,y,y,y,n
C1710,古尊宿語錄,宋,"頤藏,淨戒",,y,y,y,n
C1720,禪宗頌古聯珠通集,宋,"法應,普會,淨戒",,y,y,y,n
C1821,楞伽經纂,劉宋,"求那跋陀羅,楊彥國",,y,y,y,n
C1937,大明重刊三藏聖教目錄,明,雙徑山僧眾,,y,y,y,n
D8679,佛說佛名經（存卷四）,,,,y,y,y,n
D8680,佛說佛名經（存卷七）,,,,y,y,y,n
D8701,盂蘭盆經講經文（前殘）,,,,y,y,y,n
D8724,報恩金剛經文十二段,唐,楊仙鸖,,y,y,y,n
D8774,羯磨文（前殘）,,,,y,y,y,n
D8775,式叉摩那尼六法,,,,y,y,y,n
D8779,鳩摩羅什法師誦法（後殘）,東晉,釋慧融,,y,y,y,n
D8780,小鈔,,,,y,y,y,n
D8790,佛性觀（前殘）,,,,y,y,y,n
D8814,佛頂尊勝陀羅尼等靈異神咒二十道,,,,y,y,y,n
D8817,佛說觀世音三昧經,,,,y,y,y,n
D8820,新菩薩經,,,,y,y,y,n
D8838,金剛般若波羅蜜經（註解）,元,釋思聰,,y,y,y,n
D8842,般若心經註解,日本,釋圓耳,,y,y,y,n
D8853,梵網古跡抄,,,,y,y,y,n
D8859,楞嚴妙指,明,釋弘演,,y,y,y,n
D8862,楞嚴經四依解,明,釋觀衡,,y,y,y,n
D8863,大日經疏指心鈔,唐,釋一行,,y,y,y,n
D8864,大日經劫心義章,日本,釋運敞,,y,y,y,n
D8869,惟教三昧（存卷下　前殘）,,,,y,y,y,n
D8871,□者眷屬,,,,y,y,y,n
D8874,成實論義記（存卷中　前殘）,唐,釋其甲,,y,y,y,n
D8879,成唯識論訂正,明,釋廣伸,,y,y,y,n
D8880,成唯識論述記序釋,日本,釋善珠,,y,y,y,n
D8881,菩提心論問題,日本,釋善珠,,y,y,y,n
D8882,菩提心論口筆,日本,釋實順,,y,y,y,n
D8883,百法問答聞書抄,,,,y,y,y,n
D8885,因明入正理論後記,清,吳樹虛,,y,y,y,n
D8888,表無表章詮要鈔,唐,釋窺基,,y,y,y,n
D8889,教相樞要鈔,日本,釋高範,,y,y,y,n
D8890,唐三藏法師唯識量質疑錄,清,吳樹虛,,y,y,y,n
D8891,表無表章詳體文集,日本,釋叡尊,,y,y,y,n
D8892,略述法相義依釋,日本,釋高範,,y,y,y,n
D8893,法宗原私記,日本,釋龍謙,,y,y,y,n
D8894,頌義八拔萃,,,,y,y,y,n
D8895,略述法相義,日本,釋良光,,y,y,y,n
D8896,唯識義,日本,釋真興,,y,y,y,n
D8898,脩大方廣佛華嚴法界觀,唐,釋杜順,,y,y,y,n
D8899,圭峰禪師原人論發微錄,宋,釋淨源,,y,y,y,n
D8903,天台名目類聚鈔,日本,釋貞舜,,y,y,y,n
D8904,西谷名目句解,,,,y,y,y,n
D8905,選擇傳弘決疑鈔,日本,釋良忠,,y,y,y,n
D8913,識知淨土論,日本,弁阿,,y,y,y,n
D8914,釋淨土群疑論探要記,,,,y,y,y,n
D8915,禪門偈（前殘）,,,,y,y,y,n
D8930,特賜興禪大燈國師參詳語要,日本,釋妙超,,y,y,y,n
D8936,正信念佛偈私見聞,日本,釋空誓,,y,y,y,n
D8939,古尊宿語錄,,,,y,y,y,n
D8942,四家錄,元,釋海島,,y,y,y,n
D8945,雪峰空和尚外集,宋,"釋慧空,釋惠然",,y,y,y,n
D8948,佛國禪師語錄,元,"釋無學,釋妙環",,y,y,y,n
D8951,如來香,清,唐時,,y,y,y,n
D8952,為二太子中元盂蘭薦福文,,,,y,y,y,n
D8953,結壇散食迴向發願文（首尾殘缺）,,,,y,y,y,n
D8954,儀註備簡,明,釋大惠,,y,y,y,n
D8980,冥樞會要,宋,釋祖心,,y,y,y,n
D9000,空谷集,明,釋景隆,,y,y,y,n
D9010,閱藏隨錄,明,王芥庵,,y,y,y,n
D9011,藏經值畫一目錄,,,,y,y,y,n
D9021,知儒編,明,周夢秀,,y,y,y,n
D9025,淨土三部經音義集,日本,釋信瑞,,y,y,y,n
D9026,大悲觀世音菩薩至道禮文,,,,y,y,y,n
D9027,道安法師念佛讚文附入山讚文,,,,y,y,y,n
D9031,僧家禮儀文,朝鮮,釋冲絢,,y,y,y,n
F0016,大王觀世音經,,,,y,y,y,n
F0041,比丘尼羯磨經,劉宋,求那跋摩,,y,y,y,n
F0069,因果本起經,宋,求那跋陀羅,,y,y,y,n
F0088,佛說灌頂章句拔除過罪生死得度經,東晉,帛尸梨密多羅,,y,y,y,n
F0089,佛說恒水流樹經,劉宋,求那跋陀羅,,y,y,y,n
F0100,金剛般若波羅蜜經（御注並序）,唐,李隆基,,y,y,y,n
F0181,大般若關,,,,y,y,y,n
F0248,佛說救護身命經,,比丘道真,,y,y,y,n
F0546,大方廣圓覺修多羅了義經（選錄「附文：金剛禮一本」）,遼,通理大師,,y,y,y,n
F0761,觀自在菩薩廣大圓滿無礙大悲根本陀羅尼,唐,金剛智,,y,y,y,n
F1048,一切如來白傘蓋大佛頂陀羅尼,唐,不空,,y,y,y,n
F1050,聖千手千眼觀自在菩薩摩訶薩廣大圓滿無礙大悲心陀羅尼,唐,不空,,y,y,y,n
F1056,梵本般若波羅蜜多心經,唐,不空,,y,y,y,n
F1060,梵本般若波羅蜜多心經,宋,慈賢,,y,y,y,n
F1061,大隨求陀羅尼,宋,慈賢,,y,y,y,n
F1062,佛頂尊勝陀羅尼,宋,慈賢,,y,y,y,n
F1063,一切如來白傘蓋大佛頂陀羅尼,宋,慈賢,,y,y,y,n
F1064,大悲心陀羅尼,宋,慈賢,,y,y,y,n
F1071,釋教最上乘秘密藏陀羅尼集,,行琳,,y,y,y,n
F1072,一切佛菩薩名集,,德雲,,y,y,y,n
F1076,發菩提心戒,,志仙,,y,y,y,n
F1081,一乘法界圖合詩一印,,儼法師,,y,y,y,n
F1082,釋華嚴漩澓偈,,惟勁,,y,y,y,n
F1083,漩澓偈,,杜順法師,,y,y,y,n
F1084,健拏標訶一乘修行者秘密義記,,釋法藏,,y,y,y,n
F1098,高上玉皇本行集經髓,,儼法師,,y,y,y,n
F1099,無上玉皇心印經,,杜順法師,,y,y,y,n
G1222,一字頂輪王瑜伽經,唐,不空,,y,y,y,n
G1977,科始終心要,唐,湛然,,y,y,y,n
G2073,大明太宗文皇帝御製文殊讚,明,明太宗,,y,y,y,n
G2075,御製釋迦牟尼佛讚,明,明太宗,,y,y,y,n
G2084,坐禪箴,,道元,,y,y,y,n
G2086,三根坐禪說,,瑩山,,y,y,y,n
