char,count
潤,18658
閒,18651
床,18616
谷,18593
湖,18559
訖,18540
響,18533
敷,18513
茲,18421
鈍,18414
兵,18391
伴,18376
慚,18352
考,18339
浪,18282
村,18188
浴,18137
3,18072
澄,18028
麁,18025
辦,18006
紅,17998
迎,17988
試,17945
川,17908
景,17897
狂,17876
震,17813
魏,17693
祕,17620
誤,17608
涼,17586
賴,17577
囑,17573
閑,17552
遙,17546
楊,17519
怒,17447
伺,17446
雅,17378
鹿,17369
縣,17365
傍,17359
旋,17340
追,17338
片,17167
們,17164
繞,17149
逝,17082
4,17069
妻,16986
哩,16910
晚,16850
船,16835
灌,16789
洲,16783
羊,16771
奈,16737
洹,16737
舟,16733
紫,16731
賀,16695
卒,16679
些,16653
丁,16625
瞻,16617
該,16534
辟,16503
頗,16499
撰,16470
冬,16457
冷,16432
庭,16430
韓,16372
秦,16354
沈,16348
註,16335
儒,16295
屋,16233
委,16227
獻,16201
基,16183
透,16173
筆,16135
刻,16132
雷,16066
務,16050
履,16042
軌,16041
勅,16027
曼,16011
叢,16004
醫,15993
暫,15972
竭,15956
枯,15869
繼,15840
輩,15781
惜,15683
5,15652
邑,15647
揀,15631
域,15627
避,15621
辱,15533
詞,15531
借,15528
飾,15505
旦,15500
湛,15486
葢,15470
耆,15448
席,15440
逼,15385
秀,15373
穿,15306
欣,15222
藍,15214
育,15151
闡,15132
覓,15117
符,15110
宇,15064
防,15032
恣,14975
偷,14968
戰,14966
恨,14963
昭,14934
喪,14903
式,14879
甞,14872
霜,14862
顏,14825
編,14808
渴,14789
餓,14784
闇,14781
捉,14745
愁,14736
丹,14692
瓦,14685
羣,14669
煙,14656
術,14647
焰,14567
管,14541
爐,14500
洪,14497
測,14482
截,14477
唵,14455
稽,14381
誡,14345
貌,14335
吐,14323
規,14306
柔,14279
鐘,14273
柱,14261
怪,14258
蒼,14245
衰,14240
紀,14216
階,14182
箭,14176
扶,14173
忠,14165
貫,14136
吼,14099
米,14098
傾,14088
竪,14084
嶺,14083
盤,14024
翁,14010
拏,14004
擔,14004
郎,13990
牙,13954
缺,13937
沉,13931
嶽,13927
倍,13919
昏,13897
t,13874
奴,13868
辛,13846
鄉,13811
冠,13758
─,13755
愈,13722
賤,13695
劍,13691
滯,13681
誑,13664
披,13663
赴,13629
懈,13620
CB16765,13572
乖,13570
隆,13491
昌,13485
兮,13482
蟲,13416
酬,13406
擲,13402
災,13385
停,13362
臂,13360
豎,13331
番,13328
訓,13326
游,13293
荅,13266
6,13260
卿,13242
康,13230
頃,13224
洛,13221
振,13217
郡,13213
校,13196
碧,13189
政,13189
敗,13171
溈,13161
掃,13129
搖,13115
潭,13109
斥,13027
牽,13014
馳,13012
梅,12980
市,12974
英,12971
ā,12969
榮,12955
熾,12952
璃,12948
夕,12948
厚,12929
謬,12881
黎,12876
封,12847
楚,12827
遭,12811
辰,12797
昇,12779
拳,12740
鬘,12728
刺,12684
嫌,12669
偽,12658
寸,12650
玅,12631
做,12607
荊,12583
盲,12581
7,12577
寬,12568
午,12533
憐,12435
潔,12409
薦,12391
聰,12375
派,12365
獸,12361
8,12334
泰,12245
兜,12243
澤,12237
側,12235
繩,12207
濕,12192
團,12192
湯,12180
慕,12141
騰,12137
碎,12104
曩,12100
慳,12091
CB22072,12060
賣,12055
罵,12051
奢,12041
祐,12024
營,12021
渡,12014
格,12012
渠,12009
頻,11953
敵,11952
齒,11927
弄,11901
怠,11893
龜,11859
翠,11853
豐,11853
較,11850
巨,11838
舒,11814
驢,11805
銅,11795
朗,11789
焚,11764
錫,11753
井,11752
懼,11729
麻,11725
荷,11674
局,11663
麗,11649
棲,11637
謁,11625
託,11598
諫,11587
繁,11579
潛,11563
彈,11548
呈,11548
9,11536
i,11529
雄,11528
欺,11526
綱,11524
秘,11519
橋,11498
陸,11477
配,11476
遶,11462
韻,11458
閉,11436
訪,11423
油,11408
倫,11405
狗,11399
嗔,11382
絲,11354
踏,11354
鳳,11316
價,11304
0,11298
鑑,11294
紹,11293
奏,11284
溫,11278
弱,11276
苑,11259
料,11251
貞,11251
尤,11200
瓔,11164
蕩,11139
窟,11130
升,11124
謹,11116
庶,11083
斗,11063
撥,11050
后,11032
舞,11004
灑,11001
電,10995
輔,10994
吞,10966
摧,10931
稍,10925
曠,10913
竇,10880
r,10870
肩,10831
遲,10822
珞,10782
危,10759
倚,10708
完,10703
軟,10673
劉,10671
偶,10660
抱,10637
霞,10637
巴,10634
逮,10632
腳,10623
板,10622
憑,10619
飢,10533
裡,10510
詰,10476
藉,10456
亭,10454
割,10448
廬,10442
牀,10432
掉,10383
射,10371
腹,10362
祝,10345
蔽,10331
鎮,10299
研,10294
旃,10222
暮,10214
昨,10212
銘,10187
循,10167
稟,10133
臘,10115
o,10106
醉,10100
險,10084
卑,10081
穴,10072
閱,10053
遵,10052
啼,10045
狹,10036
朱,10021
欽,9994
徐,9994
嘆,9990
埵,9981
額,9914
苟,9907
津,9866
m,9845
範,9845
爛,9835
糞,9834
坤,9829
選,9817
耀,9815
忿,9810
h,9800
忌,9787
剃,9770
廟,9759
奔,9754
監,9751
穀,9746
宰,9745
暴,9744
低,9736
杜,9725
漫,9711
包,9703
孰,9703
區,9701
疲,9683
拾,9646
均,9603
紛,9579
臭,9576
銷,9568
伯,9567
函,9567
衍,9565
輝,9554
淵,9550
訊,9547
䟽,9544
隋,9534
嫉,9530
掩,9501
練,9496
環,9492
鑒,9445
侵,9426
蒲,9423
墜,9419
嚕,9411
彩,9410
吽,9406
憎,9367
趺,9361
n,9352
馱,9334
克,9329
凝,9305
躍,9285
勘,9280
候,9256
鋒,9234
泯,9233
仲,9227
混,9218
慰,9204
慎,9177
驀,9165
驅,9157
浩,9155
匝,9136
濫,9135
祭,9115
着,9107
社,9071
買,8988
儞,8972
崖,8967
疎,8965
荒,8948
牢,8945
困,8938
芳,8926
排,8923
靡,8902
創,8900
幼,8895
謙,8872
籠,8870
產,8861
罷,8852
炎,8850
雞,8813
整,8801
禍,8798
藤,8757
滴,8753
肇,8731
侯,8698
醜,8687
扇,8672
抑,8668
噉,8661
揭,8641
競,8626
歇,8612
騎,8603
荼,8594
程,8581
兔,8581
裟,8576
泣,8557
讓,8553
袈,8551
檢,8543
弊,8529
檗,8525
它,8521
y,8491
乏,8480
叫,8460
映,8428
罔,8408
輸,8403
譏,8395
屏,8389
採,8380
盈,8363
糧,8356
駕,8347
算,8343
佉,8331
豁,8327
伎,8327
線,8323
狐,8316
乙,8306
伐,8302
戴,8295
碑,8287
層,8273
宛,8262
費,8253
獅,8250
攀,8248
髻,8247
尒,8242
歟,8236
鳩,8230
囊,8211
譽,8204
覽,8204
斬,8203
侶,8200
旁,8199
陞,8182
析,8178
曜,8170
哭,8155
策,8146
係,8132
擾,8120
庚,8119
抄,8111
飽,8089
亮,8086
郭,8074
裂,8065
伸,8056
膝,8038
断,8035
柳,8006
秪,8001
琉,7993
岳,7962
淳,7945
倦,7940
確,7937
豫,7932
束,7911
贈,7910
針,7905
墨,7898
咄,7897
廓,7892
祈,7879
茫,7870
胸,7868
s,7855
竝,7854
誕,7845
蹤,7841
莖,7839
牧,7836
晨,7833
冤,7826
隻,7796
綿,7792
幡,7759
坑,7758
桃,7749
杭,7745
誨,7742
粥,7708
庫,7706
隣,7701
竊,7696
健,7694
葛,7688
v,7685
胝,7683
巍,7682
肅,7667
躬,7642
吟,7633
綠,7630
瑟,7623
渾,7615
賞,7604
擁,7599
輒,7597
鮮,7589
戀,7574
勉,7574
翳,7570
探,7564
添,7563
揮,7539
奘,7527
趨,7510
換,7505
丑,7493
翼,7488
森,7487
薪,7476
秉,7468
恰,7454
乗,7447
植,7429
魯,7410
晦,7401
緊,7386
鬪,7372
暢,7372
壬,7365
錦,7362
奮,7327
鄭,7316
咎,7314
犍,7283
匿,7279
鍾,7264
嗟,7259
冰,7254
撫,7252
踊,7251
溺,7227
宏,7221
酥,7220
睺,7210
丙,7203
諱,7202
孟,7191
寅,7163
誘,7146
N,7122
屍,7110
-,7077
拍,7061
製,7056
街,7047
殷,7043
逃,7036
熙,7021
季,7008
瘡,6989
罰,6989
淚,6985
訛,6985
盖,6983
弓,6981
衡,6975
疊,6967
岐,6960
癸,6954
迅,6953
踰,6949
跪,6944
討,6931
挂,6927
莎,6927
革,6919
粗,6912
咒,6908
籍,6893
臾,6882
警,6881
籌,6878
埋,6874
烟,6858
跳,6847
役,6845
鉤,6843
壯,6835
畔,6819
炬,6802
滋,6797
栴,6797
纖,6768
煖,6765
曆,6757
聾,6750
諾,6742
嵩,6714
劒,6713
鹽,6710
忙,6706
燭,6703
祗,6685
饑,6676
謨,6665
爪,6662
秖,6659
兆,6619
桓,6619
蕭,6615
謀,6613
僕,6600
▲,6585
戊,6579
豆,6578
卯,6569
掘,6567
屠,6565
鶴,6562
d,6561
瞎,6555
涯,6555
灰,6549
夾,6539
鬚,6530
誹,6521
勵,6515
緇,6496
央,6495
陶,6487
系,6483
穩,6471
吠,6471
酪,6453
耕,6440
激,6424
擯,6419
惹,6414
蜀,6413
鼎,6405
魂,6396
織,6391
晴,6381
巳,6380
刑,6370
淡,6360
箋,6347
粟,6343
僅,6325
寮,6324
燃,6310
羽,6306
迫,6295
祀,6284
抵,6278
肆,6275
評,6271
托,6268
職,6261
芥,6256
蘆,6248
奧,6234
陷,6231
匠,6230
艸,6224
誐,6223
鎖,6214
操,6207
拋,6202
恃,6197
曳,6195
龕,6178
睛,6177
酉,6177
諂,6174
占,6173
决,6172
班,6170
祠,6161
叅,6158
鞋,6152
茂,6141
u,6137
涌,6133
醒,6120
狼,6116
肘,6089
妃,6075
e,6061
麥,6060
闥,6048
巡,6044
飄,6043
敕,6038
斫,6037
悞,6031
冀,6030
陁,6017
竿,6006
跟,5994
俊,5992
欠,5987
獵,5977
卜,5975
暑,5963
柴,5950
播,5931
豪,5925
谿,5923
鑿,5915
忉,5910
霧,5889
仗,5867
刃,5853
緩,5823
烈,5822
鞭,5819
跛,5817
詐,5813
拙,5812
霄,5810
黨,5807
葬,5785
巾,5773
寥,5772
枕,5766
鄙,5753
捐,5737
袖,5728
拿,5719
翅,5708
菜,5707
CB08859,5702
燕,5693
怕,5682
薰,5675
腰,5667
盆,5663
寢,5659
悠,5655
懃,5650
婢,5632
謾,5616
韋,5613
汗,5606
姑,5596
髓,5596
棘,5589
頑,5582
腦,5581
氷,5575
呢,5572
茅,5562
屢,5554
掛,5547
握,5544
帙,5527
恥,5515
暇,5514
泊,5513
朽,5499
峻,5495
徃,5491
吏,5488
敲,5488
鷲,5485
揵,5480
殃,5479
踐,5479
捺,5474
貢,5463
虧,5446
芽,5444
坊,5439
淪,5434
叔,5431
惺,5428
妬,5426
皎,5425
悶,5412
朕,5408
舜,5402
杲,5401
軒,5394
亥,5386
綺,5383
厥,5378
皈,5360
虫,5347
鼠,5345
扣,5341
泛,5333
撿,5329
築,5329
燄,5322
沐,5320
俾,5313
戌,5309
淫,5295
努,5292
椎,5292
𦦨,5291
禽,5289
醯,5285
嗚,5275
緒,5267
脈,5262
斤,5261
逾,5253
態,5245
併,5244
怎,5241
很,5239
凶,5235
佗,5226
k,5222
朋,5222
咽,5221
項,5214
儼,5203
縫,5200
篤,5198
敏,5194
詠,5192
俄,5192
窺,5186
促,5183
坦,5179
餅,5179
汙,5178
哲,5170
級,5160
壑,5137
耽,5131
陣,5129
桑,5124
擎,5120
堆,5112
鈴,5112
祿,5097
佳,5085
撒,5071
煞,5066
潮,5049
釣,5046
螺,5039
橛,5008
CB01926,5001
夙,4990
柏,4989
羞,4982
涕,4969
奚,4962
苗,4951
恆,4950
傅,4946
矩,4939
摸,4926
犬,4920
韶,4919
嬰,4919
娜,4919
p,4911
刊,4910
蹉,4905
盂,4905
猴,4901
陛,4900
卵,4898
覿,4895
模,4894
堯,4881
括,4875
哆,4870
姚,4854
唾,4851
諮,4837
瞞,4830
隅,4827
宴,4823
鴻,4819
翰,4819
崩,4814
粒,4808
禾,4808
袋,4799
唎,4793
聊,4793
縷,4780
軀,4771
崛,4770
䟦,4770
庸,4766
琴,4764
况,4759
塘,4758
賦,4756
桂,4755
焦,4753
賈,4743
介,4743
杵,4742
吸,4741
裝,4738
洋,4736
凌,4732
冊,4728
〡,4728
藝,4719
諷,4715
牆,4713
抽,4698
澡,4697
允,4696
鄔,4693
享,4688
厄,4683
粉,4678
猿,4673
捕,4672
娛,4667
貝,4658
姊,4653
捧,4628
鄰,4627
聯,4625
瘦,4621
瑠,4612
滑,4603
赫,4592
寡,4588
邏,4583
羸,4572
債,4557
缽,4553
漂,4552
枉,4550
措,4547
暖,4545
撞,4543
丞,4521
雀,4513
跏,4496
遽,4488
副,4482
磬,4459
怯,4453
削,4453
漁,4451
倉,4446
屎,4446
栗,4446
陋,4445
寤,4443
拒,4438
鑄,4421
劈,4419
替,4418
捷,4416
麟,4414
廿,4411
材,4409
裁,4405
筋,4400
繇,4397
樞,4390
滄,4381
輿,4377
炭,4376
搆,4375
錐,4375
逈,4373
柰,4373
澗,4372
乍,4367
湧,4367
喃,4356
浙,4353
闊,4348
傑,4338
斧,4337
觧,4331
醍,4328
窠,4326
偉,4322
醐,4317
塊,4315
漆,4314
壓,4312
窣,4307
偃,4300
效,4289
鑽,4281
漚,4273
禱,4258
撲,4254
寓,4240
廻,4233
譚,4232
叩,4231
皷,4224
朔,4222
闢,4220
𢙣,4219
衢,4214
諭,4207
帳,4205
穆,4204
腸,4203
槌,4200
膽,4198
轍,4193
貨,4186
俯,4183
斂,4180
个,4176
蔭,4175
芝,4173
躡,4168
遐,4160
瑩,4159
甫,4144
員,4134
巢,4132
濤,4130
蓬,4130
寐,4129
拶,4125
隊,4117
療,4116
欝,4115
帖,4115
仞,4115
磧,4103
匪,4099
疋,4097
詢,4092
虞,4091
嚼,4081
汁,4077
鷄,4074
昆,4072
岩,4071
釘,4063
讖,4058
襄,4051
汾,4051
淮,4050
妹,4043
弭,4041
爽,4040
鞞,4036
攞,4032
剖,3995
殆,3994
廉,3991
件,3989
迥,3986
呂,3983
帛,3980
艱,3975
佐,3974
翔,3970
尉,3965
衝,3954
勑,3950
坡,3942
遁,3937
枳,3934
閩,3925
湘,3924
脇,3923
瑕,3920
誌,3917
琳,3912
鱗,3910
拉,3909
懶,3907
絡,3903
贍,3901
纂,3900
懇,3890
彥,3886
禹,3875
憲,3852
龐,3839
凉,3839
匡,3829
曷,3823
䇿,3822
暉,3820
欄,3816
填,3813
几,3809
稀,3803
罕,3801
插,3798
妖,3796
訟,3793
采,3780
,,3777
筵,3774
敦,3765
魅,3762
瑪,3761
柄,3761
浣,3761
攬,3750
咬,3746
踞,3744
阻,3739
壹,3720
挑,3716
膚,3714
農,3711
丸,3710
輙,3705
靖,3700
溢,3695
軸,3688
CB29911,3688
蹈,3688
概,3686
拽,3680
罽,3670
虔,3667
栽,3660
CB31293,3655
搜,3655
ḥ,3654
CB15112,3654
稻,3653
邁,3652
睹,3648
犢,3648
縮,3648
漿,3647
俟,3643
躰,3641
逗,3619
棺,3616
厲,3615
b,3612
浦,3612
諡,3605
攻,3604
煎,3597
䭾,3597
剋,3592
菓,3588
剝,3580
跨,3576
絺,3574
礫,3570
鍊,3568
