work_id,char_count
T1169,19880
T1141,14272
T1155,8156
T1035,1389
T1034,720
T1072B,332
T1154,10994
T1140,3344
T1197,1454
T1183,2900
T1545,1540271
T0894b,17054
T0894a,17100
T0895a,26086
T0895b,18794
T0863,3821
T0877,3781
T0888,6733
T0917,5330
T0903,2219
T0902,994
T0916,1242
T0889,27543
T0876,5870
T0862,5008
T0848,68007
T0874,14491
T0860,7729
T0900,2755
T0914,4294
T0915,1428
T0901,177353
T0861,1942
T0875,3849
T0849,13690
T0871,8688
T0865,21473
T0859,3127
T0893b,46317
T0905,4676
T0911,4687
T0910,1758
T0904,13360
T0893c,47654
T0858,368
T0870,6064
T0866,44536
T0872,2363
T0899,8059
T0893a,50034
T0912,6412
T0906,3996
T0907,1628
T0913,2618
T0898,5996
T0873,12570
T0867,16666
T0856,1403
T0881,1244
T0880,838
T0857,1086
T0869,4486
T0855,4000
T0896,23025
T0882,142991
T0909,4866
T0908,5029
T0883,25264
T0897,20535
T0854,7140
T0868,21816
T0850,26711
T0878,1815
T0887,30681
T0852b,19604
T0864A,8260
T0886,4413
T0892,20950
T0879,1667
T0851,20462
T0853,29818
T0884,9270
T0890,36077
T0852a,22294
T0864B,2964
T0891,7375
T0885,52105
T0313,21166
T0312,73723
T0310,1039153
T0311,25928
T0314,10969
T0316,161668
T0317,7800
T0315b,5917
T0315a,11651
T0319,26821
T0318,18225
T0320,84440
T0711,3736
T0705,1215
T0665,76478
T0671,97070
T0659,73804
T0658,53606
T0670,54099
T0664,65037
T0704,2088
T0710,4224
T0706,244
T0712,4897
T0699,946
T0672,71892
T0666,4919
T0667,8663
T0673,20007
T0698,1852
T0713,2173
T0707,2616
T0703,4694
T0717,11131
T0688,1581
T0677,5461
T0663,34883
T0662,4013
T0676,38260
T0689,2555
T0716,11476
T0702,7343
T0714,2373
T0700,1164
T0660,76508
T0674,17627
T0675,39218
T0661,3369
T0701,1571
T0715,2591
T0718,1108
T0687,945
T0693,1761
T0678,5669
T0679,3817
T0692,1153
T0686,438
T0719,7053
T0690,2949
T0684,457
T0685,977
T0691,4510
T0695,1486
T0681,30110
T0656,191040
T0657,124335
T0680,4506
T0694,10867
T0709,3280
T0682,31572
T0696,1651
T0669,15557
T0668,3073
T0697,1393
T0683,2877
T0720,13013
T0708,2593
T1558,236971
T1559,252263
T1561,3948
T1560,14807
T1562,720535
T1563,316792
T1838,26284
T1839,23177
T1849,21897
T1848,181959
T1843,44577
T1842,26840
T1840,86986
T1841,25770
T1845,23840
T1851,690921
T1850,67748
T1844,40737
T1846,70620
T1847,14403
T1835,67475
T1837,14615
T1836,11650
T1829,365033
T1832,233856
T1833,248219
T1831,78881
T1830,567318
