work_id,char_count
X0589,48263
X0590,13837
X0591,5152
X0592,123336
X0593,217104
X0594,159836
X0595,37167
X0596,482138
X0597,108508
X0598,56005
X0599,252350
X0600,369932
X0601,7690
X0602,104186
X0603,87624
X0604,213578
X0605,275984
X0606,199391
X0607,205150
X0608,226520
X0609,58891
X0610,12833
X0611,117201
X0612,75480
X0613,31376
X0614,239896
X0615,9296
X0616,282196
X0617,106203
X0618,16670
X0619,304507
X0620,34035
X0621,18989
X0622,9487
X0623,322574
X0624,14961
X0625,378642
X0626,16456
X0627,8284
X0628,139625
X0629,17802
X0630,25482
X0631,329146
X0632,31608
X0633,3624
X0636,172043
X0637,71601
X0638,1179676
X0639,46051
X0640,7317
X0641,4579
X0642,66591
X0643,6925
X0644,3118
X0645,60043
X0646,3456
X0647,10844
X0648,5102
X0649,3488
X0650,29873
X0651,45532
X0652,112847
X0656,36220
X0657,71021
X0658,34286
X0659,620594
X0660,162704
X0661,227261
X0662,382900
X0663,1168
X0664,2188
X0665,9032
X0666,12750
X0669,7368
X0670,12986
X0671,98886
X0672,1577
X0673,9922
X0674,63953
X0675,25914
X0676,34605
X0678,99269
X0679,117673
X0680,11872
X0681,12334
X0682,38292
X0683,21747
X0686,61588
X0687,34964
X0690,17371
X0691,35120
X0692,16749
X0693,17655
X0694,112862
X0695,107428
X0696,6273
X0697,160078
X0698,16241
X0699,101376
X0700,165278
X0702,13477
X0703,7898
X0704,70771
X0705,29264
X0706,2830
X0707,13595
X0708,60530
X0709,255745
X0712,26769
X0713,31919
X0714,439382
X0715,5063
X0716,13854
X0717,200778
X0718,50014
X0719,217224
X0720,240244
X0721,33832
X0722,12938
X0723,9150
X0724,97342
X0725,9938
X0726,177979
X0727,24451
X0728,305231
X0729,1673
X0730,239865
X0731,499104
X0732,135976
X0733,499397
X0734,35994
X0735,447491
X0736,749871
X0737,792141
X0738,41344
X0740,12983
X0741,1459
X0742,2899
X0743,137363
X0744,421819
X0745,15095
X0746,11331
X0747,60873
X0748,92344
X0749,12651
X0750,63542
X0751,73527
X0753,181341
X0754,1810
X0755,25380
X0757,62091
X0759,30526
X0762,46866
X0763,44815
X0764,63989
X0765,39282
X0766,45635
X0767,23794
X0768,282122
X0770,2040
X0771,66048
X0772,104270
X0773,10520
X0774,106845
X0775,72754
X0776,45310
X0777,10280
X0784,166924
X0786,4418
X0787,25614
X0788,25854
X0790,22428
X0791,186167
X0794,1046
X0796,210664
X0797,24061
X0799,99082
X0802,6284
X0803,23640
X0804,19960
