work_id,char_count
X0770,2019
X0771,57326
X0772,101066
X0773,10510
X0774,106211
X0775,72017
X0776,40383
X0777,10159
X0784,145021
X0786,4405
X0787,25435
X0788,22217
X0790,18844
X0791,160770
X0794,1042
X0796,209523
X0797,20368
X0799,84916
X0802,5283
X0803,20061
X0804,16430
X0805,5657
X0806,51747
X0808,46994
X0810,11926
X0812,13271
X0814,125690
X0815,554590
X0816,24798
X0817,6904
X0818,134909
X0819,510401
X0820,190911
X0821,225143
X0822,281472
X0823,187942
X0824,206465
X0825,21485
X0826,287851
X0827,10165
X0828,5957
X0830,4412
X0831,4271
X0832,22731
X0833,13363
X0836,147590
X0837,16725
X0838,7794
X0839,114671
X0841,202667
X0842,4686
X0843,45742
X0844,27778
X0845,40086
X0846,50331
X0847,19754
X0848,18204
X0852,14476
X0853,54004
X0854,35014
X0855,37782
X0856,11457
X0857,19045
X0858,11289
X0859,10569
X0860,2261
X0861,8981
X0862,5798
X0866,43883
X0868,5759
X0869,5096
X0870,87035
X0872,73938
X0873,53743
X0876,12564
X0878,3028
X0879,19651
X0880,8248
X0882,57109
X0883,53270
X0884,30957
X0888,65811
X0890,17507
X0891,9291
X0892,3948
X0893,5965
X0894,12709
X0895,3446
X0896,2944
X0897,10754
X0898,26661
X0899,247
X0900,3467
X0901,1316
X0902,8370
X0903,13251
X0904,111692
X0905,59789
X0907,33700
X0908,2384
X0909,20614
X0911,336
X0912,1468
X0913,978
X0914,564
X0915,62873
X0916,1318
X0917,5993
X0918,1811
X0919,157894
X0920,58529
X0921,155369
X0922,17394
X0923,109370
X0924,32720
X0925,5221
X0926,24018
X0927,16220
X0928,17360
X0929,8387
X0930,45588
X0931,110697
X0932,17933
X0933,2317
X0934,772
X0935,59671
X0936,13876
X0937,38263
X0938,1355
X0939,94120
X0940,944
X0941,663
X0942,32974
X0943,3834
X0944,7904
X0946,4789
X0948,68934
X0949,90701
X0950,24566
X0951,35070
X0952,4030
X0953,2317
X0954,9778
X0955,9152
X0956,19450
X0957,11055
X0958,5766
X0959,644
X0960,4368
X0961,24978
X0962,910
X0963,11100
X0964,82302
X0965,60069
X0966,62597
X0967,21479
X0968,66924
X0969,27392
X0970,66395
X0971,2942
X0972,56387
X0974,9228
X0975,35655
X0976,89281
X0977,37730
X0978,3322
X0979,13622
X0980,373798
X0985,37017
X0991,1336
X0993,1494
X0994,21010
X0995,82057
X0996,22927
X0997,8727
X0998,108727
X0999,16710
X1000,7167
X1004,443
X1005,1042
X1007,4139
X1008,2235
X1010,5037
X1013,16799
X1014,1487
X1015,47985
X1016,8820
X1017,11145
X1018,3670
X1019,6720
X1020,2948
X1022,2567
X1023,2004
X1024,79491
X1025,9242
X1026,2433
X1027,2909
X1028,2342
X1029,12716
X1030,6600
X1031,22195
X1032,48039
X1033,37696
X1043,7438
X1048,923
X1052,892
X1054,10296
X1069,881
X1073,486
X1074,406
X1077,30676
X1078,6237
X1079,3969
X1080,18573
X1081,37532
X1082,3085
X1083,20295
X1084,28279
X1085,5077
X1086,4042
X1087,11687
X1088,4567
X1094,23760
X1095,86060
X1096,78267
X1097,22334
X1098,2831
X1099,2361
X1100,846
X1102,3876
X1103,4732
X1104,41590
X1105,18658
X1106,4044
X1107,35392
X1108,11294
X1109,68567
X1110,94607
X1111,15509
X1112,16834
X1113,59986
X1114,14019
X1115,7240
X1116,60167
X1117,15520
X1118,51016
X1119,78616
X1120,126961
X1121,9144
X1122,7098
X1123,123368
X1124,8386
X1125,26878
X1126,49714
X1127,13956
X1128,60635
X1129,26542
X1130,5877
X1131,7047
X1132,3176
X1133,24007
X1134,15480
X1135,56724
X1136,20693
X1137,4912
X1138,5407
X1139,2746
X1145,23614
X1149,10283
X1154,51520
X1155,15055
X1156,90098
X1157,16924
X1158,10409
X1160,2636
X1161,9367
X1162,111995
X1163,20669
X1164,156618
X1165,46770
X1166,16688
X1167,20325
X1168,27175
X1169,31986
X1170,24127
X1171,10631
X1172,88707
X1173,33673
X1174,13180
X1175,4591
X1176,54204
X1177,52036
X1178,5957
X1179,36448
X1180,16163
X1181,31929
X1182,26423
X1183,4219
X1184,11987
X1185,61059
X1186,12670
X1187,31195
X1188,9095
X1189,16436
X1190,858
X1191,13485
X1192,35933
X1193,15444
X1194,20135
X1195,5856
X1196,30307
X1197,42994
X1198,24745
X1199,7142
X1200,4935
X1201,7400
X1202,37540
X1203,9805
X1204,32504
X1205,94578
X1206,5936
X1207,25501
X1208,2894
X1209,3725
X1210,3712
X1211,9799
X1212,3467
X1213,3817
X1214,36154
X1215,6501
X1216,3702
X1217,1018
X1218,4619
X1219,3720
X1220,4258
X1222,3628
X1223,8673
X1224,8385
X1225,6199
X1226,3459
X1229,820
X1230,916
X1231,93662
X1232,9028
X1233,917
X1234,3399
X1235,32247
X1236,23877
X1237,6428
X1238,3051
X1239,6132
X1240,33561
X1241,25878
X1242,42302
X1244,212177
X1245,45835
X1246,3286
X1247,14480
X1248,24562
X1249,37220
X1250,59687
X1251,10134
X1252,57058
X1253,11619
X1254,2010
X1255,9724
X1256,7871
X1257,16252
X1258,7791
X1259,16525
X1260,406998
X1261,140756
X1262,34323
X1263,66647
X1264,6812
X1265,115444
X1266,139817
X1268,11483
X1269,1666
X1270,1484
X1271,6735
X1276,12625
X1277,53751
X1278,42218
X1279,11423
X1280,106217
X1281,95871
