work_id,char_count
T0144,3168
T0145,1906
T0146,1874
T0147,1127
T0148,1836
T0149,1373
T0150A,10507
T0150B,510
T0151,1503
T0152,66996
T0153,24252
T0154,48527
T0155,21482
T0156,57882
T0157,89754
T0158,78532
T0159,53320
T0160,76458
T0161,2447
T0162,3651
T0163,1338
T0164,1296
T0165,18516
T0166,2347
T0167,2333
T0168,1236
T0169,1251
T0170,8387
T0171,7429
T0172,4912
T0173,10788
T0174,2806
T0175a,2448
T0175b,2481
T0175c,2487
T0176,3167
T0177,2183
T0178,2681
T0179,2761
T0180,601
T0181a,956
T0181b,872
T0182a,1186
T0182b,3030
T0183,1904
T0184,14508
T0185,13692
T0186,65157
T0187,94334
T0188,4678
T0189,43652
T0190,365730
T0191,60458
T0192,46568
T0193,55947
T0194,38941
T0195,2334
T0196,21505
T0197,13887
T0198,18096
T0199,10773
T0200,66297
T0201,96489
T0202,129852
T0203,66700
T0204,4042
T0205,11311
T0206,16654
T0207,12663
T0208,15509
T0209,18588
T0210,15417
T0211,43161
T0212,219214
T0213,19704
T0214,746
T0215,610
T0216,639
T0217,494
T0218,405
T0219,523
T0220,4678167
T0221,211114
T0222,99778
T0223,287464
T0224,76580
T0225,44217
T0226,41321
T0227,72043
T0228,125792
T0229,9283
T0230,1173
T0231,56511
T0232,9387
T0233,10442
T0234,12636
T0235,5213
T0236a,6246
T0236b,6474
T0237,6681
T0238,7174
T0239,5174
T0240,3185
T0241,4127
T0242,3037
T0243,3018
T0244,43084
T0245,12159
T0246,14538
T0247,1081
T0248,793
T0249,1678
T0250,350
T0251,1120
T0252,711
T0253,603
T0254,631
T0255,631
T0256,1940
T0257,728
T0258,1493
T0259,839
T0260,13371
T0261,72844
T0262,72245
T0263,85612
T0264,73577
T0265,1519
T0266,31789
T0267,33800
T0268,36652
T0269,5055
T0270,13911
T0271,20920
T0272,64308
T0273,11502
T0274,6444
T0275,6174
T0276,8575
T0277,6828
T0278,497137
T0279,593508
T0280,2266
T0281,5335
T0282,4760
T0283,3337
T0284,1884
T0285,49637
T0286,45925
T0287,54043
T0288,24016
T0289,637
T0290,612
T0291,30953
T0292,54864
T0293,261033
T0294,33320
T0295,3680
T0296,930
T0297,2142
T0298,1820
T0299,27362
T0300,5292
T0301,4635
T0302,7721
T0303,9967
T0304,6170
T0305,44019
T0306,3172
T0307,2874
T0308,3205
T0309,117239
T0310,895458
T0311,21381
T0312,64204
T0313,18159
T0314,9139
T0315a,9683
T0315b,4924
T0316,141170
T0317,6482
T0318,15318
T0319,22712
T0320,71525
T0321,16733
T0322,10793
T0323,11036
T0324,7864
T0325,7349
T0326,760
T0327,11910
T0328,5814
T0329,8460
T0330,2915
T0331,5537
T0332,2101
T0333,4278
T0334,3298
T0335,4064
T0336,2708
T0337,7843
T0338,10078
T0339,11483
T0340,10409
T0341,25882
T0342,26564
T0343,1815
T0344,1457
T0345,13642
T0346,17853
T0347,11219
T0348,310
T0349,3443
T0350,7046
T0351,9199
T0352,18707
T0353,8618
T0354,14817
T0355,4232
T0356,2622
T0357,15485
T0358,5095
T0359,15920
T0360,17486
T0361,28505
T0362,25197
T0363,11814
T0364,18293
T0365,7972
T0366,2125
T0367,4114
T0368,722
T0369,176
T0370,1390
T0371,6059
T0372,8933
T0373,312
T0374,337388
T0375,334711
T0376,64149
T0377,17870
T0378,20284
T0379,20114
T0380,39678
T0381,22507
T0382,22498
T0383,13191
T0384,54444
T0385,13208
T0386,9906
T0387,41070
T0388,4686
T0389,2417
T0390,1790
T0391,458
T0392,1282
T0393,984
T0394,2696
T0395,842
T0396,900
T0397,558417
T0398,53610
T0399,29392
T0400,66287
T0401,18632
T0402,60992
T0403,41461
T0404,47755
T0405,12348
T0406,7879
T0407,7272
T0408,13521
T0409,4341
T0410,48792
T0411,75473
T0412,17118
T0413,2589
T0414,42867
T0415,56726
T0416,35964
T0417,6458
T0418,21263
T0419,6161
T0420,15541
T0421,18541
T0422,15588
T0423,23225
T0424,26896
T0425,85080
T0426,8221
T0427,1149
T0428,1151
T0429,1175
T0430,922
T0431,1677
T0432,589
T0433,10647
T0434,25164
T0435,2546
T0436,1787
T0437,1790
T0438,3559
T0439,1491
T0440,91665
T0441,169315
T0442,7422
T0443,46972
T0444,2285
T0445,11973
T0446a,8405
T0446b,6336
T0447a,10058
T0447b,5935
T0448a,7354
T0448b,7298
T0449,4906
T0450,4995
T0451,12038
T0452,3575
T0453,3427
T0454,2986
T0455,2288
T0456,7581
T0457,1065
T0458,9072
T0459,9411
T0460,5923
T0461,19530
T0462,19595
T0463,1741
T0464,2994
T0465,4490
T0466,4056
T0467,3587
T0468,22638
T0469,697
T0470,2626
T0471,3474
T0472,2628
T0473,2339
T0474,24967
T0475,27258
T0476,41211
T0477,9575
T0478,7865
T0479,9589
T0480,11293
T0481,23991
T0482,35119
T0483,2887
T0484,5206
T0485,28193
T0486,1825
T0487,2230
T0488,4528
T0489,67120
T0490,700
T0491,440
T0492a,2013
T0492b,2456
T0493,1509
T0494,484
T0495,2229
T0496,2091
T0497,1717
T0498,7104
T0499,802
T0500,1272
T0501,1016
T0502,788
T0503,364
T0504,1149
T0505,1290
T0506,632
T0507,1390
T0508,2022
T0509,1621
T0510,868
T0511,2878
T0512,2786
T0513,2921
T0514,1579
T0515,3039
T0516,2746
T0517,641
T0518,1169
T0519,526
T0520,1470
T0521,548
T0522,1462
T0523,1950
T0524,3595
T0525,889
T0526,1651
T0527,1063
T0528,1583
T0529,1518
T0530,3435
T0531,2131
T0532,4842
T0533,1113
T0534,3638
T0535,2354
T0536,1117
T0537,743
T0538,764
T0539,4437
T0540a,1152
T0540b,1132
T0541,2848
T0542,824
T0543,9394
T0544,3760
T0545,12664
T0546,3394
T0547,514
T0548,1354
T0549,14465
T0550,37961
T0551,1105
T0552,1054
T0553,7630
T0554,5919
T0555a,784
T0555b,622
T0556,2676
T0557,820
T0558,1721
T0559,793
T0560,406
T0561,787
T0562,1280
T0563,1174
T0564,8723
T0565,12615
T0566,11984
T0567,2106
T0568,1646
T0569,1170
T0570,1156
T0571,626
T0572,1303
T0573,1340
T0574,2422
T0575,752
T0576,722
T0577,877
T0578,1017
T0579,14053
T0580,2647
T0581,1413
T0582,882
T0583,1248
T0584,988
T0585,42212
T0586,38167
T0587,46000
T0588,19778
T0589,8564
T0590,980
T0591,7555
T0592,606
T0593,2663
T0594,3202
T0595,1328
T0596,658
T0597,819
T0598,33448
T0599,244
T0600,2394
T0601,3852
T0602,14662
T0603,9278
T0604,956
T0605,302
T0606,59609
T0607,8408
T0608,1580
T0609,1529
T0610,1213
T0611,2249
T0612,823
T0613,38296
T0614,22743
T0615,334
T0616,16252
T0617,4155
T0618,25523
T0619,9998
T0620,13124
T0621,1193
T0622,3397
T0623,3024
T0624,27687
T0625,29365
T0626,25393
T0627,30733
T0628,29352
T0629,2998
T0630,9843
T0631,3158
T0632,8927
T0633,8100
T0634,16984
T0635,24342
T0636,14213
T0637,17341
T0638,21735
T0639,84667
T0640,3976
T0641,8157
T0642,23333
T0643,71614
T0644,3180
T0645,9436
T0646,7444
T0647,16536
T0648,5940
T0649,27711
T0650,14480
T0651,16975
T0652,11573
T0653,31809
T0654,1990
T0655,407
T0656,160280
T0657,104043
T0658,45379
T0659,61845
T0660,64400
T0661,2958
T0662,3541
T0663,29161
T0664,54539
T0665,64492
T0666,4170
T0667,7364
T0668,2600
T0669,13529
T0670,44478
T0671,82384
T0672,60729
T0673,17054
T0674,14706
T0675,32859
T0676,32015
T0677,4485
T0678,4754
T0679,3211
T0680,3886
T0681,25759
T0682,26490
T0683,2307
T0684,376
T0685,829
T0686,365
T0687,776
T0688,1295
T0689,2139
T0690,2396
T0691,3735
T0692,929
T0693,1465
T0694,9138
T0695,1279
T0696,1361
T0697,1152
T0698,1505
T0699,813
T0700,967
T0701,1256
T0702,6167
T0703,3960
T0704,1765
T0705,973
T0706,200
